,dpdp_id_1,dpdp_id_2,University,AcademicUnit,NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Notes,Rank_HDSchool_2005,Rank_HDSchool_Cand_2005,Rank_HDSchool_Score_2005,Rank_HDSchool_2024,Rank_HDSchool_Cand_2024,Rank_HDSchool_Score_2024,RepecRank,RankSource,NameBertNer,NameSpacyNer,FacNameCleanNER,NerNameBool,title_parsed,first_parsed,middle_parsed,last_parsed,suffix_parsed,nickname_parsed,Gender,GenderBinary,__name,asian,hispanic,nh_black,nh_white,race,RaceBinary
27,28,28,McGill,Economics,Erin Strumpf,Professor & William Dawson Scholar,PhD,Harvard University,2007.0,,,,5.0,,,,,,,,,7.0,Harvard University,100.0,2.0,Harvard University,100.0,7.0,closest_use_2005,"['Erin Strumpf', [{'entity': 'B-PER', 'score': 0.9991289, 'index': 1, 'word': 'Erin', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.9994628, 'index': 2, 'word': 'St', 'start': 5, 'end': 7}, {'entity': 'I-PER', 'score': 0.90785635, 'index': 3, 'word': '##rump', 'start': 7, 'end': 11}, {'entity': 'I-PER', 'score': 0.74355805, 'index': 4, 'word': '##f', 'start': 11, 'end': 12}], 'Erin Strumpf']","[['Erin Strumpf', 'PERSON']]",Erin Strumpf,True,,Erin,,Strumpf,,,Female,1,Erin Strumpf,0.004734291,0.06469318,0.09425635,0.8363162,nh_white,1
28,29,29,McGill,Economics,Licun Xue,Associate Professor,PhD,McGill University,1996.0,0.0,1.0,23.0,,,,,,,,,,,,,160.0,McGill University,100.0,160.0,closest_use_2024,"['Licun Xue', [{'entity': 'B-PER', 'score': 0.7232388, 'index': 1, 'word': 'Li', 'start': 0, 'end': 2}, {'entity': 'I-PER', 'score': 0.755215, 'index': 4, 'word': 'Xu', 'start': 6, 'end': 8}], 'Licun Xue']","[['Licun Xue', 'PERSON']]",Licun Xue,True,,Licun,,Xue,,,Male,0,Licun Xue,0.861124,0.007398157,0.046091665,0.08538626,asian,0
29,30,30,McGill,Economics,Ling Ling Zhang,Faculty Lecturer,PhD,McGill University,2008.0,1.0,0.0,7.0,6.0,,,,,,,,,,,,160.0,McGill University,100.0,160.0,closest_use_2024,"['Ling Ling Zhang', [{'entity': 'B-PER', 'score': 0.8245231, 'index': 1, 'word': 'Ling', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.45967448, 'index': 2, 'word': 'Ling', 'start': 5, 'end': 9}, {'entity': 'I-PER', 'score': 0.38805684, 'index': 3, 'word': 'Zhang', 'start': 10, 'end': 15}], 'Ling Ling Zhang']","[['Ling Ling Zhang', 'PERSON']]",Ling Ling Zhang,True,,Ling,Ling,Zhang,,,Female,1,Ling Zhang,0.97992826,0.0021057113,0.0043979343,0.013568196,asian,0
30,31,31,McGill,Economics,Victoria Zinde-Walsh,Emeritus Full Professor (Post-Retirement),PhD,Moscow State University,1982.0,8.0,-12.0,43.0,,,,,,,,,,,,,,,,,,"['Victoria Zinde-Walsh', [{'entity': 'B-PER', 'score': 0.9988273, 'index': 1, 'word': 'Victoria', 'start': 0, 'end': 8}, {'entity': 'I-PER', 'score': 0.9991529, 'index': 2, 'word': 'Z', 'start': 9, 'end': 10}, {'entity': 'I-PER', 'score': 0.99278533, 'index': 3, 'word': '##ind', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.9517884, 'index': 4, 'word': '##e', 'start': 13, 'end': 14}, {'entity': 'I-PER', 'score': 0.6961745, 'index': 5, 'word': '-', 'start': 14, 'end': 15}, {'entity': 'I-PER', 'score': 0.9949587, 'index': 6, 'word': 'Walsh', 'start': 15, 'end': 20}], 'Victoria Zinde-Walsh']","[['Victoria Zinde-Walsh', 'PERSON']]",Victoria Zinde-Walsh,True,,Victoria,,Zinde-Walsh,,,Female,1,Victoria Zinde-Walsh,0.22167684,0.5016687,0.035100594,0.2415539,hispanic,0
31,33,33,Simon Fraser University,Economics,Victor Aguiar,Associate Professor,PhD,Brown University,2017.0,1.0,0.0,10.0,5.0,2022.0,,,,,,,,33.0,Brown University,100.0,27.0,Brown University,100.0,27.0,closest_use_2024,"['Victor Aguiar', [{'entity': 'B-PER', 'score': 0.9989292, 'index': 1, 'word': 'Victor', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.99919707, 'index': 2, 'word': 'A', 'start': 7, 'end': 8}, {'entity': 'I-PER', 'score': 0.9934337, 'index': 3, 'word': '##gu', 'start': 8, 'end': 10}, {'entity': 'I-PER', 'score': 0.98791426, 'index': 4, 'word': '##iar', 'start': 10, 'end': 13}], 'Victor Aguiar']",[],Victor Aguiar,True,,Victor,,Aguiar,,,Male,0,Victor Aguiar,0.04765239,0.69587153,0.1386362,0.11783989,hispanic,0
32,34,34,Simon Fraser University,Economics,Douglas Allen,Professor,PhD,University of Washington,1988.0,1.0,-3.0,68.0,4.0,2024.0,,,2.0,2.0,16.0,7.0,"The Institutional Revolution: Measurement & The Economic Emergence of the Modern World (Chicago: The University of Chicago Press, 2012)",82.0,University of Washington,100.0,157.0,University of Washington,100.0,82.0,closest_use_2005,"['Douglas Allen', [{'entity': 'B-PER', 'score': 0.9990307, 'index': 1, 'word': 'Douglas', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.99796426, 'index': 2, 'word': 'Allen', 'start': 8, 'end': 13}], 'Douglas Allen']","[['Douglas Allen', 'PERSON']]",Douglas Allen,True,,Douglas,,Allen,,,Male,0,Douglas Allen,0.004582647,0.016654646,0.19121438,0.7875483,nh_white,1
33,35,35,Simon Fraser University,Economics,Bertille Antoine,"Professor, Graduate Chair",PhD,Université de Montréal,2007.0,1.0,0.0,16.0,2.0,2023.0,,,6.0,,,,lots of conference?,,,,347.0,Universite de Montreal,95.0,347.0,closest_use_2024,"['Bertille Antoine', [{'entity': 'B-PER', 'score': 0.9982796, 'index': 1, 'word': 'Bert', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.9570615, 'index': 2, 'word': '##ille', 'start': 4, 'end': 8}, {'entity': 'I-PER', 'score': 0.99897623, 'index': 3, 'word': 'Antoine', 'start': 9, 'end': 16}], 'Bertille Antoine']",[],Bertille Antoine,True,,Bertille,,Antoine,,,Female,1,Bertille Antoine,0.0034197655,0.020145455,0.84867823,0.12775654,nh_black,0
34,36,36,Simon Fraser University,Economics,Fernando Aragon Sanchez,"Professor, Undergraduate Chair",PhD,London School of Economics,2010.0,0.0,3.0,18.0,4.0,2023.0,,,6.0,4.0,4.0,,,14.0,"London School of Economics and Political Science LSE, University of London",90.0,3.0,London School of Economics (LSE),95.0,14.0,closest_use_2005,"['Fernando Aragon Sanchez', [{'entity': 'B-PER', 'score': 0.99853957, 'index': 1, 'word': 'Fernando', 'start': 0, 'end': 8}, {'entity': 'I-PER', 'score': 0.99899095, 'index': 2, 'word': 'Aragon', 'start': 9, 'end': 15}, {'entity': 'I-PER', 'score': 0.9970282, 'index': 3, 'word': 'Sanchez', 'start': 16, 'end': 23}], 'Fernando Aragon Sanchez']","[['Fernando Aragon', 'PERSON']]",Fernando Aragon Sanchez,True,,Fernando,Aragon,Sanchez,,,Male,0,Fernando Sanchez,0.036775097,0.24478516,0.080709666,0.6377301,nh_white,1
35,37,37,Simon Fraser University,Economics,Chris Bidner,Associate Professor,PhD,University of British Columbia,2009.0,0.0,1.0,8.0,6.0,2022.0,,,5.0,8.0,,,,67.0,University of British Columbia,100.0,49.0,University of British Columbia,100.0,67.0,closest_use_2005,"['Chris Bidner', [{'entity': 'B-PER', 'score': 0.9993405, 'index': 1, 'word': 'Chris', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.999405, 'index': 2, 'word': 'B', 'start': 6, 'end': 7}, {'entity': 'I-PER', 'score': 0.7293418, 'index': 3, 'word': '##id', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.8207297, 'index': 4, 'word': '##ner', 'start': 9, 'end': 12}], 'Chris Bidner']","[['Chris Bidner', 'PERSON']]",Chris Bidner,True,,Chris,,Bidner,,,Male,0,Chris Bidner,0.0083040465,0.023188535,0.17028052,0.7982269,nh_white,1
36,38,38,Simon Fraser University,Economics,Serena Canaan,Assistant Professor,PhD,"University of California, Santa Barbara",2016.0,0.0,2.0,8.0,4.0,2023.0,,,3.0,2.0,,,,10.0,University of California,90.0,111.0,University of California-Santa Barbara (UCSB),95.0,111.0,closest_use_2024,"['Serena Canaan', [{'entity': 'B-PER', 'score': 0.9957337, 'index': 1, 'word': 'Serena', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.99897087, 'index': 2, 'word': 'Can', 'start': 7, 'end': 10}, {'entity': 'I-PER', 'score': 0.9867503, 'index': 3, 'word': '##aan', 'start': 10, 'end': 13}], 'Serena Canaan']",[],Serena Canaan,True,,Serena,,Canaan,,,Female,1,Serena Canaan,0.014640383,0.8143629,0.022522451,0.14847425,hispanic,0
37,39,39,Simon Fraser University,Economics,David Cox,University Lecturer,PhD,Queen's University,,,,,,,,,,,,,,,,,98.0,Queen's University,100.0,98.0,closest_use_2024,"['David Cox', [{'entity': 'B-PER', 'score': 0.9991604, 'index': 1, 'word': 'David', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.9990465, 'index': 2, 'word': 'Cox', 'start': 6, 'end': 9}], 'David Cox']","[['David Cox', 'PERSON']]",David Cox,True,,David,,Cox,,,Male,0,David Cox,0.03950828,0.032159913,0.3207692,0.6075626,nh_white,1
38,40,40,Simon Fraser University,Economics,Eliav Danziger,Assistant Professor,PhD,Princeton University,2014.0,0.0,1.0,2.0,5.0,2024.0,,,4.0,,,,,3.0,Princeton University,100.0,10.0,Princeton University,100.0,3.0,closest_use_2005,"['Eliav Danziger', [{'entity': 'B-PER', 'score': 0.9982299, 'index': 1, 'word': 'Eli', 'start': 0, 'end': 3}, {'entity': 'I-PER', 'score': 0.9696423, 'index': 2, 'word': '##av', 'start': 3, 'end': 5}, {'entity': 'I-PER', 'score': 0.9993862, 'index': 3, 'word': 'Dan', 'start': 6, 'end': 9}, {'entity': 'I-PER', 'score': 0.9922321, 'index': 4, 'word': '##zig', 'start': 9, 'end': 12}, {'entity': 'I-PER', 'score': 0.9002841, 'index': 5, 'word': '##er', 'start': 12, 'end': 14}], 'Eliav Danziger']",[],Eliav Danziger,True,,Eliav,,Danziger,,,Male,0,Eliav Danziger,0.0038376264,0.016878627,0.010606891,0.96867675,nh_white,1
39,41,41,Simon Fraser University,Economics,Minjie Deng,Assistant Professor,PhD,University of Rochester,2020.0,1.0,0.0,3.0,5.0,2024.0,,,5.0,4.0,,,lots of conferences?,79.0,University of Rochester,100.0,248.0,University of Rochester,100.0,248.0,closest_use_2024,"['Minjie Deng', [{'entity': 'B-PER', 'score': 0.9809006, 'index': 1, 'word': 'Min', 'start': 0, 'end': 3}, {'entity': 'I-PER', 'score': 0.77957666, 'index': 2, 'word': '##ji', 'start': 3, 'end': 5}, {'entity': 'I-PER', 'score': 0.5950423, 'index': 3, 'word': '##e', 'start': 5, 'end': 6}, {'entity': 'I-PER', 'score': 0.98080796, 'index': 4, 'word': 'Den', 'start': 7, 'end': 10}, {'entity': 'I-PER', 'score': 0.37259108, 'index': 5, 'word': '##g', 'start': 10, 'end': 11}], 'Minjie Deng']","[['Minjie Deng', 'PERSON']]",Minjie Deng,True,,Minjie,,Deng,,,Female,1,Minjie Deng,0.67377627,0.068878315,0.14215483,0.115190625,asian,0
40,42,42,Simon Fraser University,Economics,Sepideh Fotovatian,Lecturer,PhD,Monash University,,,,,,,,,,,,,,,,,26.0,Monash University,100.0,26.0,closest_use_2024,"['Sepideh Fotovatian', [{'entity': 'B-PER', 'score': 0.9976991, 'index': 1, 'word': 'Sep', 'start': 0, 'end': 3}, {'entity': 'I-PER', 'score': 0.879877, 'index': 2, 'word': '##ide', 'start': 3, 'end': 6}, {'entity': 'I-PER', 'score': 0.9158991, 'index': 3, 'word': '##h', 'start': 6, 'end': 7}, {'entity': 'I-PER', 'score': 0.99905235, 'index': 4, 'word': 'F', 'start': 8, 'end': 9}, {'entity': 'I-PER', 'score': 0.96557915, 'index': 5, 'word': '##oto', 'start': 9, 'end': 12}, {'entity': 'I-PER', 'score': 0.9524375, 'index': 6, 'word': '##vat', 'start': 12, 'end': 15}, {'entity': 'I-PER', 'score': 0.7319673, 'index': 7, 'word': '##ian', 'start': 15, 'end': 18}], 'Sepideh Fotovatian']",[],Sepideh Fotovatian,True,,Sepideh,,Fotovatian,,,Female,1,Sepideh Fotovatian,0.021886028,0.09510736,0.07518035,0.8078263,nh_white,1
41,43,43,Simon Fraser University,Economics,David Freeman,Associate Professor,PhD,University of British Columbia,2013.0,0.0,2.0,13.0,5.0,2024.0,,,1.0,,,,top paper = lots of presentation,67.0,University of British Columbia,100.0,49.0,University of British Columbia,100.0,67.0,closest_use_2005,"['David Freeman', [{'entity': 'B-PER', 'score': 0.99892944, 'index': 1, 'word': 'David', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.99901927, 'index': 2, 'word': 'Freeman', 'start': 6, 'end': 13}], 'David Freeman']","[['David Freeman', 'PERSON']]",David Freeman,True,,David,,Freeman,,,Male,0,David Freeman,0.046114076,0.026038196,0.37742564,0.550422,nh_white,1
42,44,44,Simon Fraser University,Economics,Jane Friesen,Professor,PhD,University of Toronto,1991.0,1.0,0.0,20.0,7.0,2013.0,,,3.0,4.0,8.0,,,52.0,University of Toronto,100.0,58.0,University of Toronto,100.0,52.0,closest_use_2005,"['Jane Friesen', [{'entity': 'B-PER', 'score': 0.9986841, 'index': 1, 'word': 'Jane', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.9993581, 'index': 2, 'word': 'Fr', 'start': 5, 'end': 7}, {'entity': 'I-PER', 'score': 0.9708301, 'index': 3, 'word': '##ies', 'start': 7, 'end': 10}, {'entity': 'I-PER', 'score': 0.9326213, 'index': 4, 'word': '##en', 'start': 10, 'end': 12}], 'Jane Friesen']","[['Jane Friesen', 'PERSON']]",Jane Friesen,True,,Jane,,Friesen,,,Female,1,Jane Friesen,0.010999024,0.051738612,0.15440737,0.78285503,nh_white,1
43,45,45,Simon Fraser University,Economics,Michael Gilraine,Assistant Professor,PhD,University of Toronto,2017.0,0.0,3.0,6.0,6.0,2023.0,,,9.0,3.0,,,working papers has year and date,52.0,University of Toronto,100.0,58.0,University of Toronto,100.0,58.0,closest_use_2024,"['Michael Gilraine', [{'entity': 'B-PER', 'score': 0.9994099, 'index': 1, 'word': 'Michael', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.9994087, 'index': 2, 'word': 'Gil', 'start': 8, 'end': 11}, {'entity': 'I-PER', 'score': 0.99303585, 'index': 3, 'word': '##rain', 'start': 11, 'end': 15}, {'entity': 'I-PER', 'score': 0.9449331, 'index': 4, 'word': '##e', 'start': 15, 'end': 16}], 'Michael Gilraine']","[['Michael Gilraine', 'PERSON']]",Michael Gilraine,True,,Michael,,Gilraine,,,Male,0,Michael Gilraine,0.022695586,0.038211755,0.6867367,0.2523559,nh_black,0
44,46,46,Simon Fraser University,Economics,Lucas Herrenbrueck,Associate Professor,PhD,"University of California, Davis",2014.0,0.0,2.0,10.0,5.0,2022.0,,,,5.0,,,presentation organized per paper,10.0,University of California,95.0,62.0,University of California-Davis,98.0,10.0,closest_use_2005,"['Lucas Herrenbrueck', [{'entity': 'B-PER', 'score': 0.99942905, 'index': 1, 'word': 'Lucas', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.99924207, 'index': 2, 'word': 'Herr', 'start': 6, 'end': 10}, {'entity': 'I-PER', 'score': 0.9972153, 'index': 3, 'word': '##en', 'start': 10, 'end': 12}, {'entity': 'I-PER', 'score': 0.99361527, 'index': 4, 'word': '##b', 'start': 12, 'end': 13}, {'entity': 'I-PER', 'score': 0.8895834, 'index': 5, 'word': '##rue', 'start': 13, 'end': 16}, {'entity': 'I-PER', 'score': 0.8213388, 'index': 6, 'word': '##ck', 'start': 16, 'end': 18}], 'Lucas Herrenbrueck']",[],Lucas Herrenbrueck,True,,Lucas,,Herrenbrueck,,,Male,0,Lucas Herrenbrueck,0.0059618345,0.017856974,0.83372474,0.14245638,nh_black,0
45,47,47,Simon Fraser University,Economics,Alexander Karaivanov,Professor,PhD,University of Chicago,2003.0,0.0,3.0,24.0,4.0,2024.0,,,10.0,,6.0,,,13.0,University of Chicago,100.0,6.0,University of Chicago,100.0,13.0,closest_use_2005,"['Alexander Karaivanov', [{'entity': 'B-PER', 'score': 0.9991943, 'index': 1, 'word': 'Alexander', 'start': 0, 'end': 9}, {'entity': 'I-PER', 'score': 0.99949, 'index': 2, 'word': 'Kara', 'start': 10, 'end': 14}, {'entity': 'I-PER', 'score': 0.978912, 'index': 3, 'word': '##iva', 'start': 14, 'end': 17}, {'entity': 'I-PER', 'score': 0.7776654, 'index': 4, 'word': '##nov', 'start': 17, 'end': 20}], 'Alexander Karaivanov']","[['Alexander Karaivanov', 'PERSON']]",Alexander Karaivanov,True,,Alexander,,Karaivanov,,,Male,0,Alexander Karaivanov,0.09897513,0.044222858,0.69553316,0.1612688,nh_black,0
46,48,48,Simon Fraser University,Economics,Kenneth Kasa,Professor,PhD,Berkeley,1981.0,,,,4.0,,,,,,,,,10.0,Berkeley,100.0,8.0,University of California-Berkeley,90.0,10.0,closest_use_2005,"['Kenneth Kasa', [{'entity': 'B-PER', 'score': 0.99906594, 'index': 1, 'word': 'Kenneth', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.99874794, 'index': 2, 'word': 'Ka', 'start': 8, 'end': 10}, {'entity': 'I-PER', 'score': 0.9142761, 'index': 3, 'word': '##sa', 'start': 10, 'end': 12}], 'Kenneth Kasa']","[['Kenneth Kasa', 'PERSON']]",Kenneth Kasa,True,,Kenneth,,Kasa,,,Male,0,Kenneth Kasa,0.011488309,0.019381065,0.18216082,0.78696984,nh_white,1
47,49,49,Simon Fraser University,Economics,Anke Kessler,"Professor, Department Chair",PhD,University of Bonn,1996.0,0.0,3.0,20.0,5.0,2017.0,,,,6.0,,,,6.0,University of London,89.0,,,,6.0,closest_use_2005,"['Anke Kessler', [{'entity': 'B-PER', 'score': 0.9975145, 'index': 1, 'word': 'An', 'start': 0, 'end': 2}, {'entity': 'I-PER', 'score': 0.842655, 'index': 2, 'word': '##ke', 'start': 2, 'end': 4}, {'entity': 'I-PER', 'score': 0.99935776, 'index': 3, 'word': 'Ke', 'start': 5, 'end': 7}, {'entity': 'I-PER', 'score': 0.99449664, 'index': 4, 'word': '##ssler', 'start': 7, 'end': 12}], 'Anke Kessler']",[],Anke Kessler,True,,Anke,,Kessler,,,Female,1,Anke Kessler,0.005548947,0.009554105,0.5462247,0.43867216,nh_black,0
48,50,50,Simon Fraser University,Economics,Dongwoo Kim,Assistant Professor,PhD,University College London,2019.0,1.0,-1.0,6.0,4.0,2022.0,,,2.0,,,,,85.0,"University College London, University of London",90.0,34.0,University College London (UCL),95.0,34.0,closest_use_2024,"['Dongwoo Kim', [{'entity': 'B-PER', 'score': 0.9951147, 'index': 1, 'word': 'Dong', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.72233605, 'index': 2, 'word': '##wo', 'start': 4, 'end': 6}, {'entity': 'I-PER', 'score': 0.74442625, 'index': 3, 'word': '##o', 'start': 6, 'end': 7}, {'entity': 'I-PER', 'score': 0.99212027, 'index': 4, 'word': 'Kim', 'start': 8, 'end': 11}], 'Dongwoo Kim']","[['Kim', 'PERSON']]",Dongwoo Kim,True,,Dongwoo,,Kim,,,Male,0,Dongwoo Kim,0.579186,0.021514405,0.050834537,0.34846506,asian,0
49,51,51,Simon Fraser University,Economics,John Knowles,Professor,PhD,University of Rochester,1999.0,0.0,1.0,11.0,16.0,2022.0,,,5.0,,,,,79.0,University of Rochester,100.0,248.0,University of Rochester,100.0,79.0,closest_use_2005,"['John Knowles', [{'entity': 'B-PER', 'score': 0.9983772, 'index': 1, 'word': 'John', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.9979042, 'index': 2, 'word': 'Knowles', 'start': 5, 'end': 12}], 'John Knowles']","[['John Knowles', 'PERSON']]",John Knowles,True,,John,,Knowles,,,Male,0,John Knowles,0.022622861,0.0134350015,0.6412351,0.3227071,nh_black,0
50,52,52,Simon Fraser University,Economics,Brian Krauth,Associate Professor,PhD,University of Wisconsin,1999.0,0.0,4.0,20.0,4.0,2024.0,,,3.0,,,,,30.0,University of Wisconsin,100.0,418.0,University of Wisconsin,100.0,30.0,closest_use_2005,"['Brian Krauth', [{'entity': 'B-PER', 'score': 0.9993105, 'index': 1, 'word': 'Brian', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.99919206, 'index': 2, 'word': 'K', 'start': 6, 'end': 7}, {'entity': 'I-PER', 'score': 0.9748879, 'index': 3, 'word': '##ra', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.32105523, 'index': 4, 'word': '##uth', 'start': 9, 'end': 12}], 'Brian Krauth']","[['Brian Krauth', 'PERSON']]",Brian Krauth,True,,Brian,,Krauth,,,Male,0,Brian Krauth,0.0043524224,0.023515845,0.022611544,0.9495203,nh_white,1
51,53,53,Simon Fraser University,Economics,Shih En Lu,Associate Professor,PhD,Harvard University,2011.0,0.0,4.0,6.0,3.0,2020.0,,,2.0,1.0,,,,7.0,Harvard University,100.0,2.0,Harvard University,100.0,7.0,closest_use_2005,"['Shih En Lu', [{'entity': 'B-PER', 'score': 0.9604408, 'index': 1, 'word': 'Shi', 'start': 0, 'end': 3}, {'entity': 'I-PER', 'score': 0.41984996, 'index': 2, 'word': '##h', 'start': 3, 'end': 4}, {'entity': 'I-PER', 'score': 0.4485358, 'index': 3, 'word': 'En', 'start': 5, 'end': 7}, {'entity': 'I-PER', 'score': 0.590674, 'index': 4, 'word': 'Lu', 'start': 8, 'end': 10}], 'Shih En Lu']","[['Shih En Lu', 'PERSON']]",Shih En Lu,True,,Shih,En,Lu,,,Male,0,Shih Lu,0.95802385,0.014118129,0.0023452723,0.025512692,asian,0
52,54,54,Simon Fraser University,Economics,Christoph Luelfesmann,Professor,PhD,University of Bonn,1996.0,1.0,0.0,18.0,5.0,2018.0,,,,,,,,6.0,University of London,89.0,,,,6.0,closest_use_2005,"['Christoph Luelfesmann', [{'entity': 'B-PER', 'score': 0.99919266, 'index': 1, 'word': 'Christoph', 'start': 0, 'end': 9}, {'entity': 'I-PER', 'score': 0.99939597, 'index': 2, 'word': 'Lu', 'start': 10, 'end': 12}, {'entity': 'I-PER', 'score': 0.9459436, 'index': 3, 'word': '##elf', 'start': 12, 'end': 15}, {'entity': 'I-PER', 'score': 0.9043973, 'index': 4, 'word': '##es', 'start': 15, 'end': 17}, {'entity': 'I-PER', 'score': 0.93893725, 'index': 5, 'word': '##mann', 'start': 17, 'end': 21}], 'Christoph Luelfesmann']","[['Christoph Luelfesmann', 'PERSON']]",Christoph Luelfesmann,True,,Christoph,,Luelfesmann,,,Male,0,Christoph Luelfesmann,0.112730816,0.19496079,0.34371296,0.3485954,nh_white,1
53,55,55,Simon Fraser University,Economics,Steeve Mongrain,Professor,PhD,Queen's University,1998.0,0.0,1.0,25.0,4.0,2024.0,,,,6.0,,,,,,,98.0,Queen's University,100.0,98.0,closest_use_2024,"['Steeve Mongrain', [{'entity': 'B-PER', 'score': 0.9971085, 'index': 1, 'word': 'St', 'start': 0, 'end': 2}, {'entity': 'I-PER', 'score': 0.87725997, 'index': 2, 'word': '##ee', 'start': 2, 'end': 4}, {'entity': 'I-PER', 'score': 0.6613422, 'index': 3, 'word': '##ve', 'start': 4, 'end': 6}, {'entity': 'I-PER', 'score': 0.9990415, 'index': 4, 'word': 'Mon', 'start': 7, 'end': 10}, {'entity': 'I-PER', 'score': 0.9019642, 'index': 5, 'word': '##gra', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.97548056, 'index': 6, 'word': '##in', 'start': 13, 'end': 15}], 'Steeve Mongrain']","[['Steeve Mongrain', 'PERSON']]",Steeve Mongrain,True,,Steeve,,Mongrain,,,Male,0,Steeve Mongrain,0.044393633,0.03935825,0.62679106,0.28945705,nh_black,0
54,56,56,Simon Fraser University,Economics,Pierre Mouganie,Assistant Professor,PhD,"Texas A&M University, College Station (TAMU)",2015.0,0.0,3.0,8.0,4.0,2024.0,,,4.0,,,,,,,,191.0,Texas A&M University,90.0,191.0,closest_use_2024,"['Pierre Mouganie', [{'entity': 'B-PER', 'score': 0.99942195, 'index': 1, 'word': 'Pierre', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.9993136, 'index': 2, 'word': 'Mo', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.98687625, 'index': 3, 'word': '##uga', 'start': 9, 'end': 12}, {'entity': 'I-PER', 'score': 0.9732118, 'index': 4, 'word': '##nie', 'start': 12, 'end': 15}], 'Pierre Mouganie']","[['Pierre Mouganie', 'PERSON']]",Pierre Mouganie,True,,Pierre,,Mouganie,,,Male,0,Pierre Mouganie,0.001263647,0.0013332461,0.9930107,0.00439235,nh_black,0
55,57,57,Simon Fraser University,Economics,Gordon Myers,Professor,PhD,McMaster University,1990.0,2.0,0.0,26.0,5.0,2022.0,,,,2.0,2.0,,,,,,231.0,McMaster University,100.0,231.0,closest_use_2024,"['Gordon Myers', [{'entity': 'B-PER', 'score': 0.9992105, 'index': 1, 'word': 'Gordon', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.9993142, 'index': 2, 'word': 'Myers', 'start': 7, 'end': 12}], 'Gordon Myers']","[['Gordon Myers', 'PERSON']]",Gordon Myers,True,,Gordon,,Myers,,,Male,0,Gordon Myers,0.007358555,0.018746955,0.5876299,0.38626456,nh_black,0
56,58,58,Simon Fraser University,Economics,Krishna Pendakur,"Professor, Associate Chair",PhD,"University of California, Berkeley",1994.0,0.0,1.0,50.0,4.0,2023.0,,,5.0,,,,conference cities are interesting,10.0,University of California,95.0,8.0,University of California-Berkeley,99.0,10.0,closest_use_2005,"['Krishna Pendakur', [{'entity': 'B-PER', 'score': 0.99906033, 'index': 1, 'word': 'Krishna', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.9993801, 'index': 2, 'word': 'Pen', 'start': 8, 'end': 11}, {'entity': 'I-PER', 'score': 0.9969812, 'index': 3, 'word': '##dak', 'start': 11, 'end': 14}, {'entity': 'I-PER', 'score': 0.8282311, 'index': 4, 'word': '##ur', 'start': 14, 'end': 16}], 'Krishna Pendakur']","[['Krishna Pendakur', 'PERSON']]",Krishna Pendakur,True,,Krishna,,Pendakur,,,Male,0,Krishna Pendakur,0.5974935,0.03363771,0.09130108,0.27756777,asian,0
57,59,59,Simon Fraser University,Economics,Luba Petersen,Associate Professor,PhD,"University of California, Santa Cruz",2012.0,0.0,2.0,13.0,5.0,2024.0,,,6.0,6.0,,,,10.0,University of California,90.0,135.0,University of California-Santa Cruz (UCSC),95.0,10.0,closest_use_2005,"['Luba Petersen', [{'entity': 'B-PER', 'score': 0.9975841, 'index': 1, 'word': 'Lu', 'start': 0, 'end': 2}, {'entity': 'B-PER', 'score': 0.5118591, 'index': 2, 'word': '##ba', 'start': 2, 'end': 4}, {'entity': 'I-PER', 'score': 0.99883145, 'index': 3, 'word': 'Petersen', 'start': 5, 'end': 13}], 'Luba Petersen']","[['Luba Petersen', 'PERSON']]",Luba Petersen,True,,Luba,,Petersen,,,Female,1,Luba Petersen,0.10483738,0.5730984,0.051873505,0.2701907,hispanic,0
