dpdp_id_1,dpdp_id_2,University,AcademicUnit,NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Notes,Rank_HDSchool_2005,Rank_HDSchool_Cand_2005,Rank_HDSchool_Score_2005,Rank_HDSchool_2024,Rank_HDSchool_Cand_2024,Rank_HDSchool_Score_2024,RepecRank,RankSource,NameBertNer,NameSpacyNer,FacNameCleanNER,NerNameBool,title_parsed,first_parsed,middle_parsed,last_parsed,suffix_parsed,nickname_parsed
35,35,Simon Fraser University,Economics,Bertille Antoine,"Professor, Graduate Chair",PhD,Université de Montréal,2007,1,0,16,2,2023,,,6,,,,lots of conference?,,,,347,Universite de Montreal,95,347,closest_use_2024,"['Bertille Antoine', [{'entity': 'B-PER', 'score': 0.9982796, 'index': 1, 'word': 'Bert', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.9570615, 'index': 2, 'word': '##ille', 'start': 4, 'end': 8}, {'entity': 'I-PER', 'score': 0.99897623, 'index': 3, 'word': 'Antoine', 'start': 9, 'end': 16}], 'Bertille Antoine']",[],Bertille Antoine,TRUE,,Bertille,,Antoine,,
36,36,Simon Fraser University,Economics,Fernando Aragon Sanchez,"Professor, Undergraduate Chair",PhD,London School of Economics,2010,0,3,18,4,2023,,,6,4,4,,,14,"London School of Economics and Political Science LSE, University of London",90,3,London School of Economics (LSE),95,14,closest_use_2005,"['Fernando Aragon Sanchez', [{'entity': 'B-PER', 'score': 0.99853957, 'index': 1, 'word': 'Fernando', 'start': 0, 'end': 8}, {'entity': 'I-PER', 'score': 0.99899095, 'index': 2, 'word': 'Aragon', 'start': 9, 'end': 15}, {'entity': 'I-PER', 'score': 0.9970282, 'index': 3, 'word': 'Sanchez', 'start': 16, 'end': 23}], 'Fernando Aragon Sanchez']","[['Fernando Aragon', 'PERSON']]",Fernando Aragon Sanchez,TRUE,,Fernando,Aragon,Sanchez,,
37,37,Simon Fraser University,Economics,Chris Bidner,Associate Professor,PhD,University of British Columbia,2009,0,1,8,6,2022,,,5,8,,,,67,University of British Columbia,100,49,University of British Columbia,100,67,closest_use_2005,"['Chris Bidner', [{'entity': 'B-PER', 'score': 0.9993405, 'index': 1, 'word': 'Chris', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.999405, 'index': 2, 'word': 'B', 'start': 6, 'end': 7}, {'entity': 'I-PER', 'score': 0.7293418, 'index': 3, 'word': '##id', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.8207297, 'index': 4, 'word': '##ner', 'start': 9, 'end': 12}], 'Chris Bidner']","[['Chris Bidner', 'PERSON']]",Chris Bidner,TRUE,,Chris,,Bidner,,
38,38,Simon Fraser University,Economics,Serena Canaan,Assistant Professor,PhD,"University of California, Santa Barbara",2016,0,2,8,4,2023,,,3,2,,,,10,University of California,90,111,University of California-Santa Barbara (UCSB),95,111,closest_use_2024,"['Serena Canaan', [{'entity': 'B-PER', 'score': 0.9957337, 'index': 1, 'word': 'Serena', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.99897087, 'index': 2, 'word': 'Can', 'start': 7, 'end': 10}, {'entity': 'I-PER', 'score': 0.9867503, 'index': 3, 'word': '##aan', 'start': 10, 'end': 13}], 'Serena Canaan']",[],Serena Canaan,TRUE,,Serena,,Canaan,,
39,39,Simon Fraser University,Economics,David Cox,University Lecturer,PhD,Queen's University,,,,,,,,,,,,,,,,,98,Queen's University,100,98,closest_use_2024,"['David Cox', [{'entity': 'B-PER', 'score': 0.9991604, 'index': 1, 'word': 'David', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.9990465, 'index': 2, 'word': 'Cox', 'start': 6, 'end': 9}], 'David Cox']","[['David Cox', 'PERSON']]",David Cox,TRUE,,David,,Cox,,
40,40,Simon Fraser University,Economics,Eliav Danziger,Assistant Professor,PhD,Princeton University,2014,0,1,2,5,2024,,,4,,,,,3,Princeton University,100,10,Princeton University,100,3,closest_use_2005,"['Eliav Danziger', [{'entity': 'B-PER', 'score': 0.9982299, 'index': 1, 'word': 'Eli', 'start': 0, 'end': 3}, {'entity': 'I-PER', 'score': 0.9696423, 'index': 2, 'word': '##av', 'start': 3, 'end': 5}, {'entity': 'I-PER', 'score': 0.9993862, 'index': 3, 'word': 'Dan', 'start': 6, 'end': 9}, {'entity': 'I-PER', 'score': 0.9922321, 'index': 4, 'word': '##zig', 'start': 9, 'end': 12}, {'entity': 'I-PER', 'score': 0.9002841, 'index': 5, 'word': '##er', 'start': 12, 'end': 14}], 'Eliav Danziger']",[],Eliav Danziger,TRUE,,Eliav,,Danziger,,
41,41,Simon Fraser University,Economics,Minjie Deng,Assistant Professor,PhD,University of Rochester,2020,1,0,3,5,2024,,,5,4,,,lots of conferences?,79,University of Rochester,100,248,University of Rochester,100,248,closest_use_2024,"['Minjie Deng', [{'entity': 'B-PER', 'score': 0.9809006, 'index': 1, 'word': 'Min', 'start': 0, 'end': 3}, {'entity': 'I-PER', 'score': 0.77957666, 'index': 2, 'word': '##ji', 'start': 3, 'end': 5}, {'entity': 'I-PER', 'score': 0.5950423, 'index': 3, 'word': '##e', 'start': 5, 'end': 6}, {'entity': 'I-PER', 'score': 0.98080796, 'index': 4, 'word': 'Den', 'start': 7, 'end': 10}, {'entity': 'I-PER', 'score': 0.37259108, 'index': 5, 'word': '##g', 'start': 10, 'end': 11}], 'Minjie Deng']","[['Minjie Deng', 'PERSON']]",Minjie Deng,TRUE,,Minjie,,Deng,,
42,42,Simon Fraser University,Economics,Sepideh Fotovatian,Lecturer,PhD,Monash University,,,,,,,,,,,,,,,,,26,Monash University,100,26,closest_use_2024,"['Sepideh Fotovatian', [{'entity': 'B-PER', 'score': 0.9976991, 'index': 1, 'word': 'Sep', 'start': 0, 'end': 3}, {'entity': 'I-PER', 'score': 0.879877, 'index': 2, 'word': '##ide', 'start': 3, 'end': 6}, {'entity': 'I-PER', 'score': 0.9158991, 'index': 3, 'word': '##h', 'start': 6, 'end': 7}, {'entity': 'I-PER', 'score': 0.99905235, 'index': 4, 'word': 'F', 'start': 8, 'end': 9}, {'entity': 'I-PER', 'score': 0.96557915, 'index': 5, 'word': '##oto', 'start': 9, 'end': 12}, {'entity': 'I-PER', 'score': 0.9524375, 'index': 6, 'word': '##vat', 'start': 12, 'end': 15}, {'entity': 'I-PER', 'score': 0.7319673, 'index': 7, 'word': '##ian', 'start': 15, 'end': 18}], 'Sepideh Fotovatian']",[],Sepideh Fotovatian,TRUE,,Sepideh,,Fotovatian,,
43,43,Simon Fraser University,Economics,David Freeman,Associate Professor,PhD,University of British Columbia,2013,0,2,13,5,2024,,,1,,,,top paper = lots of presentation,67,University of British Columbia,100,49,University of British Columbia,100,67,closest_use_2005,"['David Freeman', [{'entity': 'B-PER', 'score': 0.99892944, 'index': 1, 'word': 'David', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.99901927, 'index': 2, 'word': 'Freeman', 'start': 6, 'end': 13}], 'David Freeman']","[['David Freeman', 'PERSON']]",David Freeman,TRUE,,David,,Freeman,,
44,44,Simon Fraser University,Economics,Jane Friesen,Professor,PhD,University of Toronto,1991,1,0,20,7,2013,,,3,4,8,,,52,University of Toronto,100,58,University of Toronto,100,52,closest_use_2005,"['Jane Friesen', [{'entity': 'B-PER', 'score': 0.9986841, 'index': 1, 'word': 'Jane', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.9993581, 'index': 2, 'word': 'Fr', 'start': 5, 'end': 7}, {'entity': 'I-PER', 'score': 0.9708301, 'index': 3, 'word': '##ies', 'start': 7, 'end': 10}, {'entity': 'I-PER', 'score': 0.9326213, 'index': 4, 'word': '##en', 'start': 10, 'end': 12}], 'Jane Friesen']","[['Jane Friesen', 'PERSON']]",Jane Friesen,TRUE,,Jane,,Friesen,,
45,45,Simon Fraser University,Economics,Michael Gilraine,Assistant Professor,PhD,University of Toronto,2017,0,3,6,6,2023,,,9,3,,,working papers has year and date,52,University of Toronto,100,58,University of Toronto,100,58,closest_use_2024,"['Michael Gilraine', [{'entity': 'B-PER', 'score': 0.9994099, 'index': 1, 'word': 'Michael', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.9994087, 'index': 2, 'word': 'Gil', 'start': 8, 'end': 11}, {'entity': 'I-PER', 'score': 0.99303585, 'index': 3, 'word': '##rain', 'start': 11, 'end': 15}, {'entity': 'I-PER', 'score': 0.9449331, 'index': 4, 'word': '##e', 'start': 15, 'end': 16}], 'Michael Gilraine']","[['Michael Gilraine', 'PERSON']]",Michael Gilraine,TRUE,,Michael,,Gilraine,,
46,46,Simon Fraser University,Economics,Lucas Herrenbrueck,Associate Professor,PhD,"University of California, Davis",2014,0,2,10,5,2022,,,,5,,,presentation organized per paper,10,University of California,95,62,University of California-Davis,98,10,closest_use_2005,"['Lucas Herrenbrueck', [{'entity': 'B-PER', 'score': 0.99942905, 'index': 1, 'word': 'Lucas', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.99924207, 'index': 2, 'word': 'Herr', 'start': 6, 'end': 10}, {'entity': 'I-PER', 'score': 0.9972153, 'index': 3, 'word': '##en', 'start': 10, 'end': 12}, {'entity': 'I-PER', 'score': 0.99361527, 'index': 4, 'word': '##b', 'start': 12, 'end': 13}, {'entity': 'I-PER', 'score': 0.8895834, 'index': 5, 'word': '##rue', 'start': 13, 'end': 16}, {'entity': 'I-PER', 'score': 0.8213388, 'index': 6, 'word': '##ck', 'start': 16, 'end': 18}], 'Lucas Herrenbrueck']",[],Lucas Herrenbrueck,TRUE,,Lucas,,Herrenbrueck,,
47,47,Simon Fraser University,Economics,Alexander Karaivanov,Professor,PhD,University of Chicago,2003,0,3,24,4,2024,,,10,,6,,,13,University of Chicago,100,6,University of Chicago,100,13,closest_use_2005,"['Alexander Karaivanov', [{'entity': 'B-PER', 'score': 0.9991943, 'index': 1, 'word': 'Alexander', 'start': 0, 'end': 9}, {'entity': 'I-PER', 'score': 0.99949, 'index': 2, 'word': 'Kara', 'start': 10, 'end': 14}, {'entity': 'I-PER', 'score': 0.978912, 'index': 3, 'word': '##iva', 'start': 14, 'end': 17}, {'entity': 'I-PER', 'score': 0.7776654, 'index': 4, 'word': '##nov', 'start': 17, 'end': 20}], 'Alexander Karaivanov']","[['Alexander Karaivanov', 'PERSON']]",Alexander Karaivanov,TRUE,,Alexander,,Karaivanov,,
48,48,Simon Fraser University,Economics,Kenneth Kasa,Professor,PhD,Berkeley,1981,,,,4,,,,,,,,,10,Berkeley,100,8,University of California-Berkeley,90,10,closest_use_2005,"['Kenneth Kasa', [{'entity': 'B-PER', 'score': 0.99906594, 'index': 1, 'word': 'Kenneth', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.99874794, 'index': 2, 'word': 'Ka', 'start': 8, 'end': 10}, {'entity': 'I-PER', 'score': 0.9142761, 'index': 3, 'word': '##sa', 'start': 10, 'end': 12}], 'Kenneth Kasa']","[['Kenneth Kasa', 'PERSON']]",Kenneth Kasa,TRUE,,Kenneth,,Kasa,,
49,49,Simon Fraser University,Economics,Anke Kessler,"Professor, Department Chair",PhD,University of Bonn,1996,0,3,20,5,2017,,,,6,,,,6,University of London,89,,,,6,closest_use_2005,"['Anke Kessler', [{'entity': 'B-PER', 'score': 0.9975145, 'index': 1, 'word': 'An', 'start': 0, 'end': 2}, {'entity': 'I-PER', 'score': 0.842655, 'index': 2, 'word': '##ke', 'start': 2, 'end': 4}, {'entity': 'I-PER', 'score': 0.99935776, 'index': 3, 'word': 'Ke', 'start': 5, 'end': 7}, {'entity': 'I-PER', 'score': 0.99449664, 'index': 4, 'word': '##ssler', 'start': 7, 'end': 12}], 'Anke Kessler']",[],Anke Kessler,TRUE,,Anke,,Kessler,,
50,50,Simon Fraser University,Economics,Dongwoo Kim,Assistant Professor,PhD,University College London,2019,1,-1,6,4,2022,,,2,,,,,85,"University College London, University of London",90,34,University College London (UCL),95,34,closest_use_2024,"['Dongwoo Kim', [{'entity': 'B-PER', 'score': 0.9951147, 'index': 1, 'word': 'Dong', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.72233605, 'index': 2, 'word': '##wo', 'start': 4, 'end': 6}, {'entity': 'I-PER', 'score': 0.74442625, 'index': 3, 'word': '##o', 'start': 6, 'end': 7}, {'entity': 'I-PER', 'score': 0.99212027, 'index': 4, 'word': 'Kim', 'start': 8, 'end': 11}], 'Dongwoo Kim']","[['Kim', 'PERSON']]",Dongwoo Kim,TRUE,,Dongwoo,,Kim,,
51,51,Simon Fraser University,Economics,John Knowles,Professor,PhD,University of Rochester,1999,0,1,11,16,2022,,,5,,,,,79,University of Rochester,100,248,University of Rochester,100,79,closest_use_2005,"['John Knowles', [{'entity': 'B-PER', 'score': 0.9983772, 'index': 1, 'word': 'John', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.9979042, 'index': 2, 'word': 'Knowles', 'start': 5, 'end': 12}], 'John Knowles']","[['John Knowles', 'PERSON']]",John Knowles,TRUE,,John,,Knowles,,
52,52,Simon Fraser University,Economics,Brian Krauth,Associate Professor,PhD,University of Wisconsin,1999,0,4,20,4,2024,,,3,,,,,30,University of Wisconsin,100,418,University of Wisconsin,100,30,closest_use_2005,"['Brian Krauth', [{'entity': 'B-PER', 'score': 0.9993105, 'index': 1, 'word': 'Brian', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.99919206, 'index': 2, 'word': 'K', 'start': 6, 'end': 7}, {'entity': 'I-PER', 'score': 0.9748879, 'index': 3, 'word': '##ra', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.32105523, 'index': 4, 'word': '##uth', 'start': 9, 'end': 12}], 'Brian Krauth']","[['Brian Krauth', 'PERSON']]",Brian Krauth,TRUE,,Brian,,Krauth,,
53,53,Simon Fraser University,Economics,Shih En Lu,Associate Professor,PhD,Harvard University,2011,0,4,6,3,2020,,,2,1,,,,7,Harvard University,100,2,Harvard University,100,7,closest_use_2005,"['Shih En Lu', [{'entity': 'B-PER', 'score': 0.9604408, 'index': 1, 'word': 'Shi', 'start': 0, 'end': 3}, {'entity': 'I-PER', 'score': 0.41984996, 'index': 2, 'word': '##h', 'start': 3, 'end': 4}, {'entity': 'I-PER', 'score': 0.4485358, 'index': 3, 'word': 'En', 'start': 5, 'end': 7}, {'entity': 'I-PER', 'score': 0.590674, 'index': 4, 'word': 'Lu', 'start': 8, 'end': 10}], 'Shih En Lu']","[['Shih En Lu', 'PERSON']]",Shih En Lu,TRUE,,Shih,En,Lu,,
54,54,Simon Fraser University,Economics,Christoph Luelfesmann,Professor,PhD,University of Bonn,1996,1,0,18,5,2018,,,,,,,,6,University of London,89,,,,6,closest_use_2005,"['Christoph Luelfesmann', [{'entity': 'B-PER', 'score': 0.99919266, 'index': 1, 'word': 'Christoph', 'start': 0, 'end': 9}, {'entity': 'I-PER', 'score': 0.99939597, 'index': 2, 'word': 'Lu', 'start': 10, 'end': 12}, {'entity': 'I-PER', 'score': 0.9459436, 'index': 3, 'word': '##elf', 'start': 12, 'end': 15}, {'entity': 'I-PER', 'score': 0.9043973, 'index': 4, 'word': '##es', 'start': 15, 'end': 17}, {'entity': 'I-PER', 'score': 0.93893725, 'index': 5, 'word': '##mann', 'start': 17, 'end': 21}], 'Christoph Luelfesmann']","[['Christoph Luelfesmann', 'PERSON']]",Christoph Luelfesmann,TRUE,,Christoph,,Luelfesmann,,
55,55,Simon Fraser University,Economics,Steeve Mongrain,Professor,PhD,Queen's University,1998,0,1,25,4,2024,,,,6,,,,,,,98,Queen's University,100,98,closest_use_2024,"['Steeve Mongrain', [{'entity': 'B-PER', 'score': 0.9971085, 'index': 1, 'word': 'St', 'start': 0, 'end': 2}, {'entity': 'I-PER', 'score': 0.87725997, 'index': 2, 'word': '##ee', 'start': 2, 'end': 4}, {'entity': 'I-PER', 'score': 0.6613422, 'index': 3, 'word': '##ve', 'start': 4, 'end': 6}, {'entity': 'I-PER', 'score': 0.9990415, 'index': 4, 'word': 'Mon', 'start': 7, 'end': 10}, {'entity': 'I-PER', 'score': 0.9019642, 'index': 5, 'word': '##gra', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.97548056, 'index': 6, 'word': '##in', 'start': 13, 'end': 15}], 'Steeve Mongrain']","[['Steeve Mongrain', 'PERSON']]",Steeve Mongrain,TRUE,,Steeve,,Mongrain,,
56,56,Simon Fraser University,Economics,Pierre Mouganie,Assistant Professor,PhD,"Texas A&M University, College Station (TAMU)",2015,0,3,8,4,2024,,,4,,,,,,,,191,Texas A&M University,90,191,closest_use_2024,"['Pierre Mouganie', [{'entity': 'B-PER', 'score': 0.99942195, 'index': 1, 'word': 'Pierre', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.9993136, 'index': 2, 'word': 'Mo', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.98687625, 'index': 3, 'word': '##uga', 'start': 9, 'end': 12}, {'entity': 'I-PER', 'score': 0.9732118, 'index': 4, 'word': '##nie', 'start': 12, 'end': 15}], 'Pierre Mouganie']","[['Pierre Mouganie', 'PERSON']]",Pierre Mouganie,TRUE,,Pierre,,Mouganie,,
57,57,Simon Fraser University,Economics,Gordon Myers,Professor,PhD,McMaster University,1990,2,0,26,5,2022,,,,2,2,,,,,,231,McMaster University,100,231,closest_use_2024,"['Gordon Myers', [{'entity': 'B-PER', 'score': 0.9992105, 'index': 1, 'word': 'Gordon', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.9993142, 'index': 2, 'word': 'Myers', 'start': 7, 'end': 12}], 'Gordon Myers']","[['Gordon Myers', 'PERSON']]",Gordon Myers,TRUE,,Gordon,,Myers,,
58,58,Simon Fraser University,Economics,Krishna Pendakur,"Professor, Associate Chair",PhD,"University of California, Berkeley",1994,0,1,50,4,2023,,,5,,,,conference cities are interesting,10,University of California,95,8,University of California-Berkeley,99,10,closest_use_2005,"['Krishna Pendakur', [{'entity': 'B-PER', 'score': 0.99906033, 'index': 1, 'word': 'Krishna', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.9993801, 'index': 2, 'word': 'Pen', 'start': 8, 'end': 11}, {'entity': 'I-PER', 'score': 0.9969812, 'index': 3, 'word': '##dak', 'start': 11, 'end': 14}, {'entity': 'I-PER', 'score': 0.8282311, 'index': 4, 'word': '##ur', 'start': 14, 'end': 16}], 'Krishna Pendakur']","[['Krishna Pendakur', 'PERSON']]",Krishna Pendakur,TRUE,,Krishna,,Pendakur,,
59,59,Simon Fraser University,Economics,Luba Petersen,Associate Professor,PhD,"University of California, Santa Cruz",2012,0,2,13,5,2024,,,6,6,,,,10,University of California,90,135,University of California-Santa Cruz (UCSC),95,10,closest_use_2005,"['Luba Petersen', [{'entity': 'B-PER', 'score': 0.9975841, 'index': 1, 'word': 'Lu', 'start': 0, 'end': 2}, {'entity': 'B-PER', 'score': 0.5118591, 'index': 2, 'word': '##ba', 'start': 2, 'end': 4}, {'entity': 'I-PER', 'score': 0.99883145, 'index': 3, 'word': 'Petersen', 'start': 5, 'end': 13}], 'Luba Petersen']","[['Luba Petersen', 'PERSON']]",Luba Petersen,TRUE,,Luba,,Petersen,,
60,60,Simon Fraser University,Economics,Marie Rekkas,Associate Professor,PhD,University of Toronto,2002,0,3,19,5,2018,,,,,,,,52,University of Toronto,100,58,University of Toronto,100,52,closest_use_2005,"['Marie Rekkas', [{'entity': 'B-PER', 'score': 0.999199, 'index': 1, 'word': 'Marie', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.9994461, 'index': 2, 'word': 'Re', 'start': 6, 'end': 8}, {'entity': 'I-PER', 'score': 0.98414165, 'index': 3, 'word': '##kka', 'start': 8, 'end': 11}, {'entity': 'I-PER', 'score': 0.9724024, 'index': 4, 'word': '##s', 'start': 11, 'end': 12}], 'Marie Rekkas']","[['Marie Rekkas', 'PERSON']]",Marie Rekkas,TRUE,,Marie,,Rekkas,,
61,61,Simon Fraser University,Economics,Arthur Robson,Professor,PhD,Massachusetts Institute of Technology,1974,0,2,78,4,2024,,,1,,,1,,8,Massachusetts Institute of Technology,100,4,Massachusetts Institute of Technology (MIT),95,8,closest_use_2005,"['Arthur Robson', [{'entity': 'B-PER', 'score': 0.9992531, 'index': 1, 'word': 'Arthur', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.9989247, 'index': 2, 'word': 'Robson', 'start': 7, 'end': 13}], 'Arthur Robson']","[['Arthur Robson', 'PERSON']]",Arthur Robson,TRUE,,Arthur,,Robson,,
62,62,Simon Fraser University,Economics,Martin Santamaria,Senior Lecturer,PhD,University of Chicago,,,,,,,,,,,,,,13,University of Chicago,100,6,University of Chicago,100,9.5,both,"['Martin Santamaria', [{'entity': 'B-PER', 'score': 0.99888533, 'index': 1, 'word': 'Martin', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.99904543, 'index': 2, 'word': 'Santa', 'start': 7, 'end': 12}, {'entity': 'I-PER', 'score': 0.9935934, 'index': 3, 'word': '##mar', 'start': 12, 'end': 15}, {'entity': 'I-PER', 'score': 0.93065894, 'index': 4, 'word': '##ia', 'start': 15, 'end': 17}], 'Martin Santamaria']","[['Martin Santamaria', 'PERSON']]",Martin Santamaria,TRUE,,Martin,,Santamaria,,
63,63,Simon Fraser University,Economics,Nicolas Schmitt,Professor,PhD,University of Toronto,,,,,,,,,,,,,,52,University of Toronto,100,58,University of Toronto,100,55,both,"['Nicolas Schmitt', [{'entity': 'B-PER', 'score': 0.9992499, 'index': 1, 'word': 'Nicolas', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.99933237, 'index': 2, 'word': 'Sc', 'start': 8, 'end': 10}, {'entity': 'I-PER', 'score': 0.97347194, 'index': 3, 'word': '##hm', 'start': 10, 'end': 12}, {'entity': 'I-PER', 'score': 0.9676362, 'index': 4, 'word': '##itt', 'start': 12, 'end': 15}], 'Nicolas Schmitt']","[['Nicolas Schmitt', 'PERSON']]",Nicolas Schmitt,TRUE,,Nicolas,,Schmitt,,
64,64,Simon Fraser University,Economics,Kevin Schnepel,Associate Professor,PhD,"University of California, Santa Barbara",2013,1,-4,11,5,2024,,,4,5,,,first4 pub 4 years before phd then 6 years gap ,10,University of California,90,111,University of California-Santa Barbara (UCSB),95,10,closest_use_2005,"['Kevin Schnepel', [{'entity': 'B-PER', 'score': 0.9993729, 'index': 1, 'word': 'Kevin', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.99947685, 'index': 2, 'word': 'Sc', 'start': 6, 'end': 8}, {'entity': 'I-PER', 'score': 0.9886467, 'index': 3, 'word': '##hn', 'start': 8, 'end': 10}, {'entity': 'I-PER', 'score': 0.94568735, 'index': 4, 'word': '##ep', 'start': 10, 'end': 12}, {'entity': 'I-PER', 'score': 0.91727394, 'index': 5, 'word': '##el', 'start': 12, 'end': 14}], 'Kevin Schnepel']","[['Kevin Schnepel', 'PERSON']]",Kevin Schnepel,TRUE,,Kevin,,Schnepel,,
65,65,Simon Fraser University,Economics,Xiaoting Sun,Assistant Professor,PhD,"University of California, Los Angeles",2019,3,-5,4,4,2024,,,2,,,,same here,10,University of California,90,47,University of California-Los Angeles (UCLA),95,47,closest_use_2024,"['Xiaoting Sun', [{'entity': 'B-PER', 'score': 0.9081617, 'index': 1, 'word': 'Xiao', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.3008448, 'index': 2, 'word': '##ting', 'start': 4, 'end': 8}, {'entity': 'I-PER', 'score': 0.4780609, 'index': 3, 'word': 'Sun', 'start': 9, 'end': 12}], 'Xiaoting Sun']",[],Xiaoting Sun,TRUE,,Xiaoting,,Sun,,
66,66,Simon Fraser University,Economics,Simon Woodcock,Associate Professor,PhD,Cornell University,2003,0,5,10,1,,,,4,5,3,,presentation organied per paper,91,Cornell University,100,56,Cornell University,100,91,closest_use_2005,"['Simon Woodcock', [{'entity': 'B-PER', 'score': 0.99911124, 'index': 1, 'word': 'Simon', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.9995167, 'index': 2, 'word': 'Wood', 'start': 6, 'end': 10}, {'entity': 'I-PER', 'score': 0.9972475, 'index': 3, 'word': '##cock', 'start': 10, 'end': 14}], 'Simon Woodcock']","[['Simon Woodcock', 'PERSON']]",Simon Woodcock,TRUE,,Simon,,Woodcock,,
67,67,University of British Columbia,Economics,Amartya Lahiri,Professor,PhD,Maryland at College Park,1995,0,1,36,5,2023,1.090909091,1.285714286,9,,4,,,,,,,,,,,"['Amartya Lahiri', [{'entity': 'B-PER', 'score': 0.99638003, 'index': 1, 'word': 'Amar', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.9853668, 'index': 2, 'word': '##ty', 'start': 4, 'end': 6}, {'entity': 'I-PER', 'score': 0.9758276, 'index': 3, 'word': '##a', 'start': 6, 'end': 7}, {'entity': 'I-PER', 'score': 0.99885964, 'index': 4, 'word': 'La', 'start': 8, 'end': 10}, {'entity': 'I-PER', 'score': 0.95482105, 'index': 5, 'word': '##hir', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.43546852, 'index': 6, 'word': '##i', 'start': 13, 'end': 14}], 'Amartya Lahiri']","[['Amartya Lahiri', 'PERSON']]",Amartya Lahiri,TRUE,,Amartya,,Lahiri,,
68,68,University of British Columbia,Economics,Brian R Copeland,Professor,PhD,Stanford,1987,0,2,31,7,2022,0.738095238,0.885714286,0,,5,2,,9,Stanford University,90,12,Stanford University,90,9,closest_use_2005,"['Brian R Copeland', [{'entity': 'B-PER', 'score': 0.9986021, 'index': 1, 'word': 'Brian', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.97521555, 'index': 2, 'word': 'R', 'start': 6, 'end': 7}, {'entity': 'I-PER', 'score': 0.99853086, 'index': 3, 'word': 'Cope', 'start': 8, 'end': 12}, {'entity': 'I-PER', 'score': 0.9839618, 'index': 4, 'word': '##land', 'start': 12, 'end': 16}], 'Brian R Copeland']","[['Brian R Copeland', 'PERSON']]",Brian R Copeland,TRUE,,Brian,R,Copeland,,
69,69,University of British Columbia,Economics,Claudio Ferraz,Professor,PhD,Berkeley,2006,0,2,6,9,2023,0.230769231,0.352941176,7,9,,,,10,Berkeley,100,8,University of California-Berkeley,90,10,closest_use_2005,"['Claudio Ferraz', [{'entity': 'B-PER', 'score': 0.9987564, 'index': 1, 'word': 'Claudio', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.9992792, 'index': 2, 'word': 'Fe', 'start': 8, 'end': 10}, {'entity': 'I-PER', 'score': 0.9947119, 'index': 3, 'word': '##rra', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.9848748, 'index': 4, 'word': '##z', 'start': 13, 'end': 14}], 'Claudio Ferraz']","[['Claudio Ferraz', 'PERSON']]",Claudio Ferraz,TRUE,,Claudio,,Ferraz,,
70,70,University of British Columbia,Economics,David Green,Professor,PhD,Stanford,1990,1,0,54,6,2023,1.384615385,1.636363636,4,,,4,,9,Stanford University,90,12,Stanford University,90,9,closest_use_2005,"['David Green', [{'entity': 'B-PER', 'score': 0.99889094, 'index': 1, 'word': 'David', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.99808204, 'index': 2, 'word': 'Green', 'start': 6, 'end': 11}], 'David Green']","[['David Green', 'PERSON']]",David Green,TRUE,,David,,Green,,
